2,0,Losers Round 1,mia,mia,probably high,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,0,Losers Round 1,Holy,Concussed,Holy,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 1,Kwanz,Kwanz,Sylvia Plath,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 1,Swooty,Swooty,Pizza Steve,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,-1,Losers Round 1,Sluggo,Sluggo,double,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,-1,Losers Round 1,COZY,COZY,goon,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,-1,Losers Round 1,Tora,Tora,Anomaly,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 2,The Bullfrog,Sor,The Bullfrog,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 2,Grognar,LilTayNastyTay,Grognar,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 2,jams,kevOCB,jams,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 2,mia,Eagle,mia,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,-1,Losers Round 2,Holy,Holy,Rene,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Losers Round 2,Swooty,Kwanz,Swooty,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 2,Sluggo,Sluggo,Poog,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 2,Tora,COZY,Tora,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 3,The Bullfrog,Captain  SD,The Bullfrog,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Losers Round 3,Grognar,Rodney,Grognar,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 3,mgmg,mgmg,jams,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 3,PRIN$E,PRIN$E,mia,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 3,Vincessant,Vincessant,Holy,Melee @ Xanadu Online 386 - $500 Prize Pool!
